source,split,image,image_path,caption,category,caption_length
NWPU,train,NWPU_18379.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_18379.jpg,There are some green lawns beside the palace .,vegetation,9
RSICD,train,RSICD_7717.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7717.jpg,it is a twisted yellow river passing by the lush forest with several stripes in it .,vegetation,17
UCM,train,UCM_512.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_512.jpg,Lots of plants scattered in the loess ground. .,unknown,9
UCM,train,UCM_917.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_917.jpg,Green turfs and some trees in the golf course .,vegetation,10
NWPU,train,NWPU_9234.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_9234.jpg,There is only a white truck on the left highway .,transportation,11
RSICD,train,RSICD_7917.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7917.jpg,trees are planted on both sides of the river .,water,10
NWPU,train,NWPU_12353.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_12353.jpg,There are some gray buildings and many containers on the industrial area .,infrastructure,13
UCM,train,UCM_1545.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1545.jpg,Many cars arranged neatly in the parking lot .,unknown,9
NWPU,train,NWPU_19933.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_19933.jpg,Many trees are beside the railway .,transportation,7
UCM,train,UCM_160.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_160.jpg,A blue airplane is stopped at the airport .,airport,9
NWPU,train,NWPU_29918.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29918.jpg,There are some buildings and green lawns on the thermal power station .,vegetation,13
NWPU,train,NWPU_25709.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_25709.jpg,White snow and brown bare ground intersect on the snow mountain .,landscape,12
NWPU,train,NWPU_18644.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_18644.jpg,The palace is on the grass next to some buildings .,vegetation,11
NWPU,train,NWPU_15138.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_15138.jpg,There is no grass in some parts of the meadow .,vegetation,11
RSICD,train,RSICD_2191.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2191.jpg,many buildings and some green trees are in a commercial area .,vegetation,12
RSICD,train,RSICD_725.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_725.jpg,a baseball field is near several green trees .,vegetation,9
NWPU,train,NWPU_17865.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_17865.jpg,The perimeter of the overpasses is completely covered by vegetation .,vegetation,11
RSICD,train,RSICD_9043.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9043.jpg,many green trees are around a stadium .,vegetation,8
UCM,train,UCM_1775.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1775.jpg,There are some mark lines on the straight runway .,airport,10
NWPU,train,NWPU_547.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_547.jpg,An airport with two parallel runways on the lawn and some buildings beside .,airport,14
UCM,train,UCM_712.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_712.jpg,A dense forest with thick plants .,vegetation,7
NWPU,train,NWPU_25021.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_25021.jpg,A cargo ship full of cargo travels on the blue sea .,water,12
UCM,train,UCM_1631.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1631.jpg,It is a river with plants wilted on both banks of the river .,water,14
RSICD,train,RSICD_6158.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_6158.jpg,there was a bare land around the football field .,vegetation,10
RSICD,train,RSICD_3942.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3942.jpg,many buildings and some green trees are in an industrial area .,vegetation,12
RSICD,train,RSICD_745.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_745.jpg,a baseball field is near several buildings .,vegetation,8
NWPU,train,NWPU_7940.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_7940.jpg,There are yellow desert with lines of bare land .,landscape,10
RSICD,train,RSICD_9022.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9022.jpg,several buildings and a parking lot are near a stadium with a football field in it .,vegetation,17
NWPU,train,NWPU_13529.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_13529.jpg,The central island has dense vegetation and the color of the river is green .,vegetation,15
UCM,train,UCM_117.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_117.jpg,An airplane is in the airport and some luggage cars beside it .,airport,13
UCM,train,UCM_747.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_747.jpg,A dense forest with lots of green plants .,vegetation,9
RSICD,train,RSICD_8208.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8208.jpg,some buildings and many green trees are in a school .,vegetation,11
RSICD,train,RSICD_549.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_549.jpg,the bare land is on the side of the land.,landscape,10
NWPU,train,NWPU_19991.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_19991.jpg,There are about ten railway lines here .,transportation,8
RSICD,train,RSICD_9326.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9326.jpg,eight storage tanks in different sizes are near bare land.,landscape,10
NWPU,train,NWPU_24505.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24505.jpg,The ship is in deep blue water and a dock is next to the ship .,water,16
NWPU,train,NWPU_12287.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_12287.jpg,There are some gray buildings and green lawns on the industrial area .,vegetation,13
NWPU,train,NWPU_24271.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24271.jpg,There are many small pieces of sea ice and two larger ones .,water,13
RSICD,train,RSICD_6440.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_6440.jpg,many green trees and farmlands are around an almost circle pond .,vegetation,12
NWPU,train,NWPU_13674.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_13674.jpg,The brown island is on a blue sea .,water,9
UCM,train,UCM_308.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_308.jpg,This is a beach with blue sea and white sands .,water,11
NWPU,train,NWPU_27328.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_27328.jpg,There are many differently sized storage tanks in the factory .,infrastructure,11
RSICD,train,RSICD_5688.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5688.jpg,many cars are parked in a parking lot near a road with several green trees .,vegetation,16
UCM,train,UCM_1729.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1729.jpg,A straight runway with some white mark lines on it .,airport,11
UCM,train,UCM_1746.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1746.jpg,A straight runway with some mark lines on it .,airport,10
NWPU,train,NWPU_21280.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_21280.jpg,Many green and brown rectangular farmlands of different sizes with villages in the fields .,vegetation,15
NWPU,train,NWPU_2814.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_2814.jpg,The banks of the river are densely forested and the water is blue .,water,14
NWPU,train,NWPU_25914.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_25914.jpg,A sparse residential area with a black building on the green meadow .,urban,13
RSICD,train,RSICD_1185.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1185.jpg,the ocean in front of the beach is very broad .,water,11
RSICD,train,RSICD_118.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_118.jpg,many planes are parked next to a terminal near runways .,airport,11
NWPU,train,NWPU_11937.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11937.jpg,Many houses of different shapes and sizes are in the industrial area .,infrastructure,13
UCM,train,UCM_1461.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1461.jpg,An overpass with a road go across another roads diagonally .,transportation,11
RSICD,train,RSICD_8531.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8531.jpg,an open swimming pool was built behind the grey roof of the house .,urban,14
NWPU,train,NWPU_7105.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_7105.jpg,There are trees all around the house .,urban,8
UCM,train,UCM_1610.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1610.jpg,A river with dense forest on both banks of the river .,vegetation,12
RSICD,train,RSICD_7667.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7667.jpg,the s shaped river with two rows of lush trees on its banks crosses this farmland .,water,17
NWPU,train,NWPU_15682.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_15682.jpg,There are a few houses in the mid-sized residential area .,urban,11
RSICD,train,RSICD_3753.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3753.jpg,a small wild road is in a piece of green forest .,vegetation,12
NWPU,train,NWPU_26298.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_26298.jpg,There are several houses of various sizes and many green trees in a sparse residential area .,vegetation,17
UCM,train,UCM_976.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_976.jpg,A part of a golf course with green turfs and some trees while a trail go through the turfs .,vegetation,20
UCM,train,UCM_1179.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1179.jpg,Here is a piece of farmland .,unknown,7
UCM,train,UCM_1615.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1615.jpg,Green plants flourish on both banks of the river .,vegetation,10
NWPU,train,NWPU_29760.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29760.jpg,"Behind a row of houses, there are three thermal power stations that are blowing smoke .",infrastructure,16
RSICD,train,RSICD_2594.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2594.jpg,many buildings and green trees are in a dense residential area .,vegetation,12
NWPU,train,NWPU_31276.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_31276.jpg,A yellow plane and a orange plane parked on the airport and a no-stop area marked by solid red lines between them .,airport,23
RSICD,train,RSICD_4806.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4806.jpg,it is a large piece of mountain with a lake .,landscape,11
NWPU,train,NWPU_24833.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24833.jpg,An aircraft carrier docked in a green harbor .,vegetation,9
RSICD,train,RSICD_9659.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9659.jpg,some buildings and bare land are near a viaduct.,landscape,9
UCM,train,UCM_753.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_753.jpg,There is a dense forest with some plants in the shadow .,vegetation,12
RSICD,train,RSICD_9419.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9419.jpg,several storage tanks are near some buildings and green trees .,vegetation,11
RSICD,train,RSICD_4122.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4122.jpg,many trees are planted around the factory .,infrastructure,8
UCM,train,UCM_279.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_279.jpg,This is a old baseball diamond .,unknown,7
UCM,train,UCM_943.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_943.jpg,This is a part of a golf course with green turfs and some bunkers and trees .,vegetation,17
RSICD,train,RSICD_4047.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4047.jpg,many buildings are in an industrial area .,infrastructure,8
NWPU,train,NWPU_25.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_25.jpg,An airport with two runways perpendicular to each other on the lawn and some buildings beside .,airport,17
NWPU,train,NWPU_14939.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_14939.jpg,A large lush green meadow covered with green grass .,vegetation,10
RSICD,train,RSICD_6033.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_6033.jpg,some buildings and green trees are around a playground .,vegetation,10
NWPU,train,NWPU_30951.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_30951.jpg,Two planes parked on the airport while some roads and lawns behind it .,airport,14
RSICD,train,RSICD_8520.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8520.jpg,there was a house on the straight side of the road with a gray roof covered with trees .,urban,19
NWPU,train,NWPU_14838.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_14838.jpg,There are many cars on the road near the meadow .,transportation,11
UCM,train,UCM_330.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_330.jpg,The waves coming over and over again to the sand beach .,water,12
RSICD,train,RSICD_10697.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10697.jpg,"this is an arc-shaped airport terminal, and almost every direction has a gate .",airport,14
UCM,train,UCM_1701.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1701.jpg,It is a straight runway with some white mark lines on it .,airport,13
NWPU,train,NWPU_21840.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_21840.jpg,"A curvy, Light green river with green fields by the shore .",vegetation,12
RSICD,train,RSICD_5643.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5643.jpg,many cars in different colors are orderly in a large parking lot .,unknown,13
NWPU,train,NWPU_26992.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_26992.jpg,There is a road between the circular  stadium and the residential area built on the lawn .,urban,17
RSICD,train,RSICD_1004.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1004.jpg,a piece of green ocean is near yellow beach .,water,10
RSICD,train,RSICD_5939.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5939.jpg,a football field is near several meadows and a basketball field .,vegetation,12
RSICD,train,RSICD_8472.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8472.jpg,a building with a swimming pool is surrounded by many green trees .,vegetation,13
RSICD,train,RSICD_6284.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_6284.jpg,two ponds are surrounded by some small green plants .,vegetation,10
RSICD,train,RSICD_7916.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7916.jpg,many trees are planted on both sides of the river .,water,11
RSICD,train,RSICD_9495.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9495.jpg,many factories are built in the factory .,infrastructure,8
NWPU,train,NWPU_23346.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_23346.jpg,The grass is beside the runway .,vegetation,7
RSICD,train,RSICD_2547.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2547.jpg,many buildings and green trees are in a dense residential area .,vegetation,12
NWPU,train,NWPU_3895.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_3895.jpg,Some disconnected small chaparrals grow in the desert and some roads go through the desert .,landscape,16
NWPU,train,NWPU_11048.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11048.jpg,There are many buildings next to the ground track field .,vegetation,11
UCM,train,UCM_662.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_662.jpg,There are many houses and plants in the residential area .,urban,11
UCM,train,UCM_169.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_169.jpg,A white airplane is stopped at the airport with some luggage cars beside it .,airport,15
RSICD,train,RSICD_9779.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9779.jpg,many green trees and several buildings are near a viaduct shaped four circles .,vegetation,14
RSICD,train,RSICD_8727.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8727.jpg,the trees are green and the ground is yellow .,vegetation,10
NWPU,train,NWPU_189.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_189.jpg,The airport is surrounded by grass .,vegetation,7
UCM,train,UCM_1679.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1679.jpg,Lots of green plants flourish on one bank of the river .,vegetation,12
RSICD,train,RSICD_7180.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7180.jpg,many buildings are in two sides of a railway station .,transportation,11
RSICD,train,RSICD_2722.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2722.jpg,many buildings and green trees are in a dense residential area .,vegetation,12
RSICD,train,RSICD_5598.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5598.jpg,there is a road with two lines of trees and parked cars near the parking lot .,transportation,17
NWPU,train,NWPU_23957.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_23957.jpg,There is a big ice and many small ice on the dark blue sea .,water,15
NWPU,train,NWPU_11233.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11233.jpg,"There are many yachts moored neatly on the sea side of the harbor, And there are still many spaces left .",water,21
RSICD,train,RSICD_1983.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1983.jpg,a church near a river is near some green trees and buildings with a parking lot .,vegetation,17
RSICD,train,RSICD_782.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_782.jpg,a baseball field is near a road and some green trees .,vegetation,12
RSICD,train,RSICD_10584.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10584.jpg,a playground with three basketball fields next to it is surrounded by some green trees and many buildings .,vegetation,19
NWPU,train,NWPU_18271.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_18271.jpg,The central part of the palace is a circular building .,urban,11
NWPU,train,NWPU_26419.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_26419.jpg,The sparse residential is on the grass next to some trees and a road .,vegetation,15
UCM,train,UCM_1767.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1767.jpg,There are some mark lines on the straight runway .,airport,10
RSICD,train,RSICD_4628.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4628.jpg,many buildings and some small trees are in a medium residential area .,urban,13
RSICD,train,RSICD_3022.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3022.jpg,some irregular curves are in a piece of yellow desert .,landscape,11
NWPU,train,NWPU_26022.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_26022.jpg,In a sparse residential area there is a grey house surrounded by grass .,urban,14
UCM,train,UCM_1526.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1526.jpg,Lots of cars parked in lines in the parking lot .,unknown,11
RSICD,train,RSICD_7207.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7207.jpg,in front of the train station tracks pass through the residential area .,urban,13
UCM,train,UCM_933.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_933.jpg,This is a part of a golf course with green turfs and some bunkers and trees .,vegetation,17
RSICD,train,RSICD_10841.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10841.jpg,a baseball field semi surrounded by green trees is next to a crossroads.,vegetation,13
RSICD,train,RSICD_9882.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9882.jpg,the straight cross intersects the circular road with sparse vegetation and houses .,vegetation,13
NWPU,train,NWPU_16508.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_16508.jpg,There are some black buildings on green lawns in the mobile home park .,vegetation,14
NWPU,train,NWPU_7807.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_7807.jpg,The desert is full of yellow sand .,landscape,8
UCM,train,UCM_1240.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1240.jpg,Some houses arranged neatly in the medium residential area .,urban,10
NWPU,train,NWPU_15503.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_15503.jpg,The medium residential is next to the farmland .,urban,9
NWPU,train,NWPU_13114.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_13114.jpg,"There are several moving vehicles on the road at the intersection, With many buildings and some trees around the intersection .",transportation,21
UCM,train,UCM_610.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_610.jpg,Lots of houses pressed together and a road goes through them .,transportation,12
RSICD,train,RSICD_10333.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10333.jpg,a playground with a basketball field next to it is surrounded by several buildings and green trees beside a street .,vegetation,21
NWPU,train,NWPU_11542.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11542.jpg,There are many buildings beside the harbor .,water,8
NWPU,train,NWPU_27774.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_27774.jpg,There are many storage tanks on the bare land next to the grass .,vegetation,14
UCM,train,UCM_1812.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1812.jpg,A house is surrounded by sands and bushes in the sparse residential area .,urban,14
NWPU,train,NWPU_29653.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29653.jpg,Many buildings of different shapes and sizes are beside the thermal power station .,infrastructure,14
UCM,train,UCM_300.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_300.jpg,This is a beach with waves .,water,7
NWPU,train,NWPU_3294.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_3294.jpg,A bridge built on a dark green river and the lawn on one side of the river .,vegetation,18
NWPU,train,NWPU_810.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_810.jpg,There is a trail leading to this baseball field .,vegetation,10
UCM,train,UCM_59.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_59.jpg,There is a piece of farmland .,unknown,7
NWPU,train,NWPU_11539.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11539.jpg,There are some ships at the harbor .,water,8
NWPU,train,NWPU_10200.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_10200.jpg,There are many bunkers and paths on a large green lawn on the golf course and many lined trees .,vegetation,20
NWPU,train,NWPU_3146.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_3146.jpg,Two bridges built on a dark blue river and some green plants on both sides of the river .,vegetation,19
RSICD,train,RSICD_9039.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9039.jpg,the building is black and the ground is green .,vegetation,10
NWPU,train,NWPU_24792.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24792.jpg,The red ship is at the harbor .,water,8
RSICD,train,RSICD_10338.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10338.jpg,many buildings and some green trees are around a playground and a square meadow .,vegetation,15
NWPU,train,NWPU_4483.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_4483.jpg,The church with a circular pointed tower and a cross-shaped road is behind the church .,transportation,16
NWPU,train,NWPU_24623.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24623.jpg,There is a ship in the green water on the shore .,vegetation,12
RSICD,train,RSICD_375.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_375.jpg,some light brown land in the middle while with some plants besides .,landscape,13
NWPU,train,NWPU_2153.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_2153.jpg,The beach with khaki sand and the color of the seawater is green .,vegetation,14
NWPU,train,NWPU_9272.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_9272.jpg,There are yellow lawns and green lawns beside the freeway .,vegetation,11
NWPU,train,NWPU_9322.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_9322.jpg,There are some gray buildings and many green trees beside the freeway .,vegetation,13
RSICD,train,RSICD_3841.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3841.jpg,the buildings in the industrial region are arranged tidily .,infrastructure,10
NWPU,train,NWPU_23545.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_23545.jpg,"There are brown and green mixed farmland next to the runway, And there are white '27' and short-line signs on the runway .",vegetation,23
RSICD,train,RSICD_2004.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2004.jpg,a cyan cross shape with a cylindrical roof is near a cyan structure and a dark grey building .,urban,19
RSICD,train,RSICD_2958.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2958.jpg,many yellow sands form a piece of desert .,landscape,9
UCM,train,UCM_1354.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1354.jpg,Many mobile homes are closed to each other in the mobile home park .,vegetation,14
NWPU,train,NWPU_27653.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_27653.jpg,There are many storage tanks on the bare land next to the water .,landscape,14
NWPU,train,NWPU_10699.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_10699.jpg,The ground track field is surrounded by lots of dense houses arranged neatly .,vegetation,14
NWPU,train,NWPU_30519.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_30519.jpg,There are many water areas and some green areas on the wetland .,vegetation,13
NWPU,train,NWPU_19703.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_19703.jpg,Many buildings are beside the railway .,transportation,7
NWPU,train,NWPU_4390.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_4390.jpg,A church with a brown roof with a cross-shaped roof on the main house .,urban,15
NWPU,train,NWPU_15185.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_15185.jpg,There are two intersecting paths in the grass .,vegetation,9
RSICD,train,RSICD_1803.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1803.jpg,a circle silver gray center with a parking lot is near a river .,water,14
RSICD,train,RSICD_2681.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2681.jpg,many buildings in different colors are in a dense residential area .,urban,12
NWPU,train,NWPU_29921.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29921.jpg,Lots of buildings are near the thermal power station .,infrastructure,10
RSICD,train,RSICD_5250.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5250.jpg,the park with dense trees and a pond is next to a road .,vegetation,14
NWPU,train,NWPU_10996.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_10996.jpg,Track and field are built on bare land next to the building .,vegetation,13
UCM,train,UCM_1302.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1302.jpg,Many mobile homes arranged in lines in the mobile home park .,vegetation,12
